ID,Name,Incident Type,Status,Severity,Summary,Incident Manager,Reporter,Comms Lead,IM SLT,Tech Lead,Impacted Platform,Impacted Client(s),Resolution (Fix) ,Impact ,Fault Responsibility,Zoom Meeting Link,VoucherEngine Component,Root Cause Analysis Summary,Repeat Incident,Monitoring,Detection & Triage,Investigation & Resolution,Client Communication,Affected services,Environment Type,Post-Mortem Document,Created At,Reported at,Accepted at,Declined at,Merged at,Canceled at,Resolved at,Impact started at,Identified at,Fixed at,Documented at,Reviewed at,Closed at,Incident duration,Updated At,Creator Alert ID,Visibility,Workload Total (minutes),Workload In Working Hours (minutes),Workload In Late Hours (minutes),Workload In Sleeping Hours (minutes),Channel name,Channel link,Source,Opted out of post-incident flow
37,Transaction and API Processing Issue,Service Incident,Closed,P1,"An issue was reported with ADQ transaction processing, showing errors and 100% CPU usage on the Paycore database. Paycontrol became unresponsive, prompting a restart of PayPower and PayAPI as a precautionary measure.",Daniel Velado,Snothile Dlamini,,,,Banking.Live,Wio,"Indexes were created on the p_card_wallet_token table to improve transaction processing speeds, and transactions are now processing fine.",,Paymentology,,,,,,,,,,,,2025-01-14T13:26:02.248Z,2025-01-14T11:18:00.000Z,,,,,2025-01-14T11:25:00.000Z,2025-01-14T11:15:00.000Z,2025-01-14T14:16:34.294Z,2025-01-14T14:28:07.280Z,,,2025-01-14T14:28:07.280Z,420,2025-01-14T15:21:24.237Z,,public,558.3,406.1,119.9,32.3,14jan-p1-critical-37-transaction-and-api-processing-issue,https://slack.com/app_redirect?team=T03SMJWS8&channel=C088N6P9KU4,Reported by Snothile Dlamini,false
38,Transaction processing issue on PROD_ALTC_4B.,Service Incident,Post-Incident Tasks & Documentation,P1,No additional errors were observed.,Daniel Velado,Daniel Velado,,,,VoucherEngine,SBSA Virtual Card,Altec to generate a new key on failovers,,Third-Party - Paymentology,,,,,,,,,,,,2025-01-15T15:55:12.195Z,2025-01-15T15:55:12.195Z,,,,,2025-01-15T16:42:01.646Z,2015-01-15T21:47:00.000Z,2025-01-15T16:04:37.421Z,,,,,2809,2025-01-15T16:42:02.542Z,,public,157.7,147.7,0,10,15jan-p1-critical-38-transaction-processing-issue-on-prod_altc_4b,https://slack.com/app_redirect?team=T03SMJWS8&channel=C088SSKD7A7,Reported by Daniel Velado,false
39,Transaction Processing Issue,Service Incident,Closed,P1,"Mastercard sent notifications regarding a transaction issue, and the AS team observed that no transactions were being received for one of the Mastercard PayRoute 4IR channels. The team restarted the PayRoute, which resolved the issue. The RCA is currently under investigation.",Snothile Dlamini,Snothile Dlamini,,,,Banking.Live,Tweeq,,,Third-Party - Paymentology,,,,,,,,,,,,2025-01-20T14:00:31.131Z,2025-01-20T14:00:31.131Z,,,,,2025-01-20T11:35:00.000Z,2025-01-20T08:40:00.000Z,2025-01-20T14:38:08.781Z,,,,2025-01-20T14:38:08.781Z,,2025-01-20T14:38:08.874Z,,public,126.8,115.8,11,0,20jan-p1-critical-39-transaction-processing-issue,https://slack.com/app_redirect?team=T03SMJWS8&channel=C089H8NK8FN,Reported by Snothile Dlamini,false
40,Transaction Processing Issue for OM client,Service Incident,Closed,P1,"Issue has been resolved, Mastercard implemented a fix at 07:40 UTC on 22nd Jan. We can now see successful transactions. Pending for Mastercard to share the full RCA report.",Kaisar Mahmood,Daniel Velado,,,,Banking.Live,Old Mutual Bank / Olympus,Mastercard implemented a fix,,Third-Party - Paymentology,,,,,,,,,,,,2025-01-20T15:19:27.828Z,2025-01-20T15:19:27.828Z,,,,,2025-01-22T11:47:30.417Z,,2025-01-20T20:10:55.771Z,2025-01-22T11:47:30.417Z,,,2025-01-22T11:47:30.417Z,138721,2025-01-22T11:47:30.593Z,,public,1885.1,1603.1,227.6,54.4,20jan-p1-critical-40-transaction-processing-issue-for-om-client,https://slack.com/app_redirect?team=T03SMJWS8&channel=C089F2DHHL3,Reported by Daniel Velado,false
42,Partial Outage of Transaction Processing for BAE,Service Incident,Closed,P1,"1 minute partial outage on transaction processing occurred from 12:49 UTC till 12:50 UTC on 22nd Jan 2025. Disconnection occurred between Paycore DB and PayPower.  Issue resolved itself, no action was taken by any support teams. Transactions are processing fine since 12:50 UTC. Investigation into the root cause of the disconnection is in progress. AS team has raised tickets to DB and Dev team for further investigation.",Kaisar Mahmood,Kaisar Mahmood,,,,Banking.Live,Bank Al Etihad,"Issue resolved itself, no action taken",Partial Outage for 1 minute - 66 transactions successfully processed / 39 transactions failed. ,Paymentology,,,,,,,,,,,,2025-01-22T13:14:20.838Z,2025-01-22T13:14:20.838Z,,,,,2025-01-22T14:21:52.354Z,2025-01-22T04:49:00.000Z,2025-01-22T14:21:52.354Z,,,,2025-01-22T14:21:52.354Z,4051,2025-01-22T14:21:52.601Z,,public,189.1,79.7,109.4,0,22jan-p1-critical-42-partial-outage-of-transaction-processing-for-bae,https://slack.com/app_redirect?team=T03SMJWS8&channel=C089PBHLNVB,Reported by Kaisar Mahmood,false
44,Partial Outage of ATM transaction processing for Mukuru & Nupay,Service Incident,Closed,P1,"On 25 January 2025, at 06:11 UTC, Paymentology’s support team was alerted to an issue where ATM transactions were not disbursing funds while still deducting balances from cardholder accounts.

Upon investigation, the Paymentology system successfully approved transactions but failed to dispense cash at ATMs. The incident affected multiple banks’ ATM networks, with notable issues reported for South African Standard Bank, FNB, and ABSA ATMs. This behaviour was consistent across all reported cases, suggesting an issue downstream in the ATM or acquirer system.

ATM withdrawals started processing normally, with the first confirmation on 25 January at 08:07 UTC. Monitoring confirmed successful transaction processing thereafter. Reversal activity for Mukuru was completed by 29th January and for Nupay by 1st February.

The incident was escalated to both ACS and Mastercard. Mastercard confirmed declines due to system errors (Response Code 96), root cause analysis is currently in progress.

Further updates on corrective actions will be provided in the Root Cause Analysis Report (RCAR).",Vicnesh Baskar,Vicnesh Baskar,,,,VoucherEngine,"Mukuru, Altron FinTech - NuPay",,"ATM transactions for both clients are showing successful, but cash is not dispensed.",Third-Party - Client,,,,,,,,,,,,2025-01-25T08:00:36.055Z,2025-01-25T08:00:36.055Z,,,,,2025-02-05T03:57:19.441Z,,2025-01-25T09:32:36.952Z,,,,2025-02-05T03:57:19.441Z,935803,2026-02-02T10:36:10.312Z,,public,139.8,118.8,21.1,0,25jan-p1-44-partial-outage-of-atm-transaction-processing-for-mukuru-nupay,https://slack.com/app_redirect?team=T03SMJWS8&channel=C08A2HR3AF8,Reported by Vicnesh Baskar,false
45,Partial Outage of transaction processing for D360,Service Incident,Root Cause Analysis and Corrective Actions,P2,"**Problem:** Transactions are intermittently timing out due to FAST Active delay. Rule Engine and Tokenisation delays were also observed for some transactions.

**Impact:** Approximately 21% of transactions experienced timeouts, affecting transaction processing.

**Causes:** To Be Decided

**Steps to resolve:** Restarting MADA & VISA PayPower resolved tokenisation and rule engine delays, and reduced FAST ACTIVE delays. Transactions have been processing normally without further timeouts for the past 60 minutes.",Vicnesh Baskar,Vicnesh Baskar,,,,Banking.Live,D360,Restarting MADA & VISA PayPower,Approximately 20% of transactions in the past 1 hour has been intermittently timing out.,Paymentology,,,,,,,,,,,,2025-01-26T04:35:18.223Z,2025-01-26T04:35:18.223Z,,,,,2025-01-26T06:34:37.024Z,2025-01-25T19:07:00.000Z,2025-01-26T05:33:37.860Z,,2025-01-27T05:37:18.311Z,,,7158,2026-02-02T10:38:32.205Z,,public,707.8,623.1,54.7,30,26jan-p2-45-partial-outage-of-transaction-processing-for-d360,https://slack.com/app_redirect?team=T03SMJWS8&channel=C08AALKUSBD,Reported by Vicnesh Baskar,false
46,MADA Transactions Processing Outage,Service Incident,Closed,P1,All MADA transactions failing for D360 (Visa transactions unaffected) ,Snothile Dlamini,Snothile Dlamini,,,,Banking.Live,D360,,,Inconclusive,,,,,,,,,,,,2025-01-27T11:55:08.075Z,2025-01-27T11:55:08.075Z,,,,,2025-02-12T08:18:50.381Z,2025-01-27T09:32:00.000Z,2025-02-12T08:18:50.381Z,,,,2025-02-12T08:18:50.381Z,1369422,2026-02-02T10:39:12.583Z,,public,1540.5,1208.8,232.4,99.3,27jan-p1-46-mada-transactions-processing-outage,https://slack.com/app_redirect?team=T03SMJWS8&channel=C08ABHXMCNR,Reported by Snothile Dlamini,false
47,Partial Processing Issue,Service Incident,Post-Incident Tasks & Documentation,P1,"**Problem:** Partial processing issues across several VE nodes started at 18:51 UTC.

**Impact:** Customers experienced a significant increase in 9XXX errors, with a success rate dropping to 39.97%.

**Causes:** The issue was caused by AWS-RED-01 and AWS-RED-02 server memory being overwhelmed with large items from different processes.

**Steps to resolve:** The initial investigation led to DB locks, after additional troubleshooting we identified that traffic to AWS-RED-01 and AWS-RED-02 was stopped and the server's memory was manually cleared before restarting them. The traffic was then resumed and it started to show a healthy state across all servers.",Daniel Velado,Daniel Velado,,,,VoucherEngine,,,,Paymentology,,,,,,,,,,,,2025-01-27T19:12:43.899Z,2025-01-27T19:12:43.899Z,,,,,2025-01-27T23:06:16.836Z,2025-01-28T01:00:00.000Z,2025-01-27T22:12:28.716Z,,,,,14012,2025-01-27T23:06:17.692Z,,public,326.9,256.9,50,20,27jan-p1-critical-47-partial-processing-issue,https://slack.com/app_redirect?team=T03SMJWS8&channel=C08AH3JKR42,Reported by Daniel Velado,false
48,Partial Outage of Transaction processing,Service Incident,Closed,P1,"On 29 Jan 22:28 UTC, Paymentology’s support team observed a high number of transaction timeouts affecting ISB, Mettle, and ADQ Mastercard via monitoring alerts. Initial investigations indicated that transactions were delayed before being received by PayRoute, potentially due to an issue between Mastercard/Visa and PayRoute.

Further analysis confirmed no connectivity issues between Azure and the UK data centre. Resource utilisation was stable across PayRoute servers, except for a CPU spike on PR-01 (ISB PayRoute server) during the incident window.

The issue self-recovered by 22:32 UTC, with transaction processing returning to normal. The incident was declared resolved on 29 Jan 22:35 UTC.",Daniel Velado,Vicnesh Baskar,,,,,"Wio, MOX, Mettle, Islandsbanki",The issue self-recovered,,Paymentology,,,,,,,,,,,,2025-01-30T06:11:56.416Z,2025-01-29T22:36:00.000Z,,,,,2025-01-29T22:32:00.000Z,2025-01-29T22:28:00.000Z,,2025-01-29T22:28:00.000Z,,,2025-01-30T06:11:56.416Z,,2025-01-30T06:51:45.325Z,,public,549.7,475.4,40,34.3,30jan-p1-critical-48-partial-outage-of-transaction-processing,https://slack.com/app_redirect?team=T03SMJWS8&channel=C08AHPQKQT1,Reported by Vicnesh Baskar,false
49,Transaction Processing Issue,Service Incident,Post-Incident Tasks & Documentation,P1,"**Problem:** A connection timeout error was encountered with PayRoute and prod-switch.paymentology.org due to the VPN to AFS being down, impacting transaction processing.

**Impact:** This has resulted in a full disruption of transaction processing.

**Causes:** The issue was caused by a failure of the VPN connection to AFS. Additional details will be provided soon.

**Steps to resolve: A call with** AFS took place to resolve their connection issues, and we restarted our application to reconnect. Communication with clients has been maintained, and transactions have started to be processed again.",Daniel Velado,Snothile Dlamini,,,,Banking.Live,Dopay LLC,,,Third-Party - Client,https://paymentology.zoom.us/j/81303225236?pwd=4ZxUdL8c24pMcB0on1MNMp8NEEHBEt.1,,,,,,,,,,,2025-01-30T15:19:06.777Z,2025-01-30T15:19:06.777Z,,,,,2025-01-30T16:17:58.088Z,2025-01-30T12:40:00.000Z,2025-01-30T16:17:58.088Z,,,,,3531,2026-02-02T10:59:38.168Z,,public,242.2,222.2,10,10,30jan-p1-49-transaction-processing-issue,https://slack.com/app_redirect?team=T03SMJWS8&channel=C08AU6KBU0N,Reported by Snothile Dlamini,false
50,PIN Format Errors,Service Incident,Closed,P1,"An alert was triggered indicating an increase in error codes (9120) on the **Crimson system** for the **prod_altc_4b** node, specifically affecting transactions with BIN **533822** (Standard Bank PayCard). The errors were identified as **PIN format errors** (error code **9120**), which occurred due to **out-of-sync keys** between two Altec endpoints.

The root cause was traced to Altec bringing both endpoints (**prod_altc_4b** and **altc_3A**) online simultaneously without properly synchronizing their keys. This caused the **HSM** to fail PIN validation for transactions, as the keys used for encryption and decryption were mismatched. The issue was intermittent, with the alert auto-resolving at times but reoccurring as new transactions triggered the same errors.",Snothile Dlamini,Snothile Dlamini,,,,VoucherEngine,SBSA PayCard,,,Third-Party - Paymentology,,,,,,,,,,,,2025-02-03T12:50:42.394Z,2025-02-03T12:50:42.394Z,,,,,2025-02-03T13:35:14.735Z,2025-02-03T11:03:00.000Z,2025-02-03T12:50:57.570Z,,,,2025-02-03T13:35:14.735Z,2672,2025-02-03T13:35:14.861Z,,public,154.8,154.8,0,0,03feb-p1-critical-50-pin-format-errors,https://slack.com/app_redirect?team=T03SMJWS8&channel=C08BK52KEAY,Reported by Snothile Dlamini,false
52,Partial Outage of Transaction Processing for multiple clients,Service Incident,Closed,P1,"Multiple transactions are processed in StandIn mode due to a high latency on ve-prod-crimson. Databased and application teams mobilized, investigation in progress.",Vicnesh Baskar,Vicnesh Baskar,,,,VoucherEngine,"Agoda, Albo, GoTyme, DolarApp, Fondeadora/Mibo, Ecocash, Vodacom DRC, Vodafone Fiji, Safaricom, Nelo, Paycard Guinea, Octopus, Mascom Botswana, KiplePay, Inswitch, Quicko, Mukuru, SBSA Ucount, Altron FinTech - NuPay",Database team identified and optimized a query which reduced the high latency,Multiple transactions were impacted for multiple clients. Additional details are being gathered.,Paymentology,https://paymentology.zoom.us/j/84356262159?pwd=7yulrAXU28DTKOUokVKDPvKda8uLs4.1,,,,,,,,,,,2025-02-06T04:53:56.877Z,2025-02-06T04:53:56.877Z,,,,,2025-02-06T06:26:54.622Z,,2025-02-06T05:07:05.725Z,,,,2025-02-06T06:26:54.622Z,5577,2025-02-07T08:30:36.057Z,,public,408.7,367.8,0,40.9,06feb-p1-critical-52-partial-outage-of-transaction-processing-for-multiple,https://slack.com/app_redirect?team=T03SMJWS8&channel=C08C0PT8V6E,Reported by Vicnesh Baskar,false
53,Full Outage of Trasanction Processing,Service Incident,Closed,P1,"Transaction processing experienced a full outage due to a connectivity problem with the ISP for the London DC, starting at 23:56 UTC on 11 Feb. The connectivity issue was resolved, and normal transaction processing resumed at 00:09 UTC on 12 Feb. ",Vicnesh Baskar,Vicnesh Baskar,,,,Banking.Live,"Mettle, Coverflex, Rain",The issue self-recovered,148 transactions timed-out due to FAST ACTIVE Request and FAST ACTIVE Response failures,Third-Party - Paymentology,,,,,,,,,,,,2025-02-12T00:47:12.486Z,2025-02-12T00:06:00.000Z,,,,,2025-02-12T01:31:19.828Z,2025-02-11T15:56:00.000Z,2025-02-11T23:56:00.000Z,2025-03-12T00:09:00.000Z,,2025-02-12T08:05:42.723Z,2025-02-12T08:05:42.723Z,5119,2025-02-12T08:05:42.826Z,,public,199.1,175,4.1,20,12feb-p1-critical-53-full-outage-of-trasanction-processing,https://slack.com/app_redirect?team=T03SMJWS8&channel=C08CY9XU59S,Reported by Vicnesh Baskar,true
54,Transaction Processing Issue,Service Incident,Post-Incident Tasks & Documentation,P1,An alert was received from ACS regarding an influx of declines with error code 91 for BIN: 526722. The issue is linked to a disconnected port number (50045). The last successful transactions were recorded at 09:35. Altech restarted the nodes PROD_ALTC_4B and PROD_ALTC_3A from their end which resolved the issue. More details will be provided,Snothile Dlamini,Snothile Dlamini,,,,VoucherEngine,,Altech restarted the nodes PROD_ALTC_4B and PROD_ALTC_3A from their end which resolved the issue. ,,Third-Party - Paymentology,https://paymentology.zoom.us/j/82398210110?pwd=r9MNyW7b1Ny5RnKnuX7BkTJukIQmbN.1,,,,,,,,,,,2025-02-12T08:29:30.037Z,2025-02-12T08:29:30.037Z,,,,,2025-02-12T08:48:41.731Z,2025-02-12T08:25:00.000Z,2025-02-12T08:48:41.731Z,,,,,1151,2025-02-12T08:48:42.562Z,,public,243.6,236.4,7.2,0,12feb-p1-critical-54-transaction-processing-issue,https://slack.com/app_redirect?team=T03SMJWS8&channel=C08CQN56DJS,Reported by Snothile Dlamini,false
55,Partial Outage of MADA Transactions for D360 ,Service Incident,Post-Incident Tasks & Documentation,P2,Reversals numbers are back to normal. No action taken by Paymentology. Pending for further updates from Saudi Payments on the root cause and what remediation actions were taken. AS team will continue to monitor the reversal count.,Kaisar Mahmood,Kaisar Mahmood,,,,Banking.Live,"D360, Tweeq",Pending update from Saudi Payments,High number of reversals since 10:05 UTC 14th Feb. Total 1224 reversals from 10:05 UTC till 11:40 UTC. ,Third-Party - Client,https://paymentology.zoom.us/j/8536652946,,,,,,,,,,,2025-02-14T11:43:43.959Z,2025-02-14T11:43:43.959Z,,,,,2025-02-14T13:26:53.750Z,2025-02-14T02:05:00.000Z,2025-02-14T13:26:53.750Z,,,,,6189,2025-02-14T13:26:54.563Z,,public,227.9,134.6,93.3,0,14feb-p2-high-55-partial-outage-of-mada-transactions-for-d360,https://slack.com/app_redirect?team=T03SMJWS8&channel=C08D92GH4RK,Reported by Kaisar Mahmood,false
56,Transaction Processing Issue for WIO ,Service Incident,Post-Incident Tasks & Documentation,P1,"As of 13:08 UTC 17th Feb, we are processing as expected with no issues. 5 instances of PayPower (1 UAE, 2 VISA, 2 Mastercard) were restarted, the restarts were completed at 13:08 UTC. Root cause is unknown at this stage, investigation and monitoring is ongoing.",Kaisar Mahmood,Kaisar Mahmood,,,,Banking.Live,Wio,PayPower instances were restarted.,Transaction Processing issue ,Paymentology,https://paymentology.zoom.us/j/8536652946,,,,,,,,,,,2025-02-17T12:51:54.950Z,2025-02-17T12:51:54.950Z,,,,,2025-02-17T15:39:57.835Z,2025-02-17T04:13:00.000Z,2025-02-17T13:30:53.319Z,,,,,10082,2025-02-17T15:39:58.627Z,,public,595.4,487,99,9.5,17feb-p1-critical-56-transaction-processing-issue-for-wio,https://slack.com/app_redirect?team=T03SMJWS8&channel=C08DQMVHYCC,Reported by Kaisar Mahmood,false
